S.No,Employee ID,Description,SAM Account Name,Logon Name,Email Address,First Name,Last Name,Full Name,Display Name,Department,Sub Department,Sub Sub Department,Pager,IP Phone,Notes,Distinguished Name,Office,Title,Mobile,Band,Grade,When Created,When Changed,Domain Name,OU Name,Manager,Rep Mgr Emp ID,Rep Mgr Emp Name,Rep Mgr Emp Email ID,Manager Distinguished Name,DOJ,DOB,Zip Code,City,State/Province,Country,Company,Parent-Company,Account Status,Password Status,Account Expiry Time,Password Expiry Date,SFDC Portal ID,SFDC-HTSORGID,Days since password last set,Password Last Set,Pwd Never Expires Flag,ID Type,O365-E3 Exception
1,XAJI0Y,Active Directory User,DIVUZ_XAJI0Y,zpqk5@company.com,user1@company.com,First1,Last1,First1 Last1,First1 Last1,HR,SubDept1,SubSubDept1,7924,192.168.1.88,Sample Note,"CN=User1,OU=Dept1",Office1,Executive,9.18E+11,B2,Junior,01-04-2023,06-06-2021,COMPANY,OrgUnit1,Manager1,DNMMJB,Manager1,manager1@company.com,"CN=Manager1,OU=Dept1",14-12-2021,31-03-1998,230889,Bangalore,Maharashtra,Canada,Vendor Company A,Vendor Group,Inactive,Expired,Never Expires,24-10-2025,UZBIKCID,KWNNHJ7X,311,13-09-2022,No,Generic,Yes
2,TIQJ7Y,Active Directory User,OC6UZ_TIQJ7Y,hr5xf@company.com,user2@company.com,First2,Last2,First2 Last2,First2 Last2,HR,SubDept2,SubSubDept2,5040,192.168.1.191,Sample Note,"CN=User2,OU=Dept2",Office2,Consultant,9.19E+11,B3,Senior,06-03-2023,27-06-2022,COMPANY,OrgUnit2,Manager2,PVN9ER,Manager2,manager2@company.com,"CN=Manager2,OU=Dept2",20-03-2023,08-08-1981,214975,Mumbai,Karnataka,Germany,Bajaj Finserv Health Limited,Bajaj Group,Active,Expired,11-01-2025,Never Expires,N9T84AZY,TJXEPQ85,134,16-02-2022,Yes,Consultant,Yes
3,SDW4SH,Active Directory User,REN93_SDW4SH,iiuc0@company.com,user3@company.com,First3,Last3,First3 Last3,First3 Last3,IT,SubDept3,SubSubDept0,9727,192.168.1.197,Sample Note,"CN=User3,OU=Dept3",Office3,Senior Analyst,9.18E+11,B4,Junior,04-05-2022,13-09-2020,COMPANY,OrgUnit3,Manager3,J5PHT0,Manager3,manager3@company.com,"CN=Manager3,OU=Dept3",08-11-2020,09-08-1990,518373,Delhi,Delhi,Canada,Bajaj Finserv Ventures Limited,Bajaj Group,Inactive,Valid,28-10-2025,Never Expires,ICATVAZC,CBLSKRT0,292,14-06-2022,Yes,Application,No
4,IRODXM,Vendor Account,02DGT_IRODXM,fgq5c@company.com,user4@company.com,First4,Last4,First4 Last4,First4 Last4,Operations,SubDept4,SubSubDept1,2604,192.168.1.13,Sample Note,"CN=User4,OU=Dept4",Office0,Consultant,9.17E+11,B1,Senior,10-12-2023,16-03-2023,COMPANY,OrgUnit4,Manager4,4FRHOC,Manager4,manager4@company.com,"CN=Manager4,OU=Dept4",11-08-2021,27-01-1980,509386,Delhi,Delhi,UK,Bajaj Finserv Limited,Bajaj Group,Inactive,Expired,26-01-2025,Never Expires,FK8UT0CV,S4F8CGVY,120,19-09-2021,Yes,Vendor,Yes
5,-,Active Directory User,IOYKL_7UUBCX,1cq99@company.com,user5@company.com,First5,Last5,First5 Last5,First5 Last5,IT,SubDept0,SubSubDept2,9808,192.168.1.55,Sample Note,"CN=User5,OU=Dept0",Office1,Consultant,9.18E+11,B2,Junior,20-12-2023,26-06-2021,COMPANY,OrgUnit5,Manager5,55NF4Z,Manager5,manager5@company.com,"CN=Manager5,OU=Dept0",08-08-2022,30-12-1997,108203,Chennai,Tamil Nadu,India,Vendor Company B,Vendor Group,Active,Expired,09-04-2025,05-06-2025,EDTJVZHW,JR64DPJA,66,16-09-2022,No,Employee,No
6,-,Active Directory User,PBN78_FPZUE8,bmyym@company.com,user6@company.com,First6,Last6,First6 Last6,First6 Last6,Operations,SubDept1,SubSubDept0,7658,192.168.1.250,Sample Note,"CN=User6,OU=Dept1",Office2,Consultant,9.18E+11,B2,Senior,05-09-2023,09-09-2020,COMPANY,OrgUnit6,Manager6,935A0L,Manager6,manager6@company.com,"CN=Manager6,OU=Dept1",16-12-2023,03-01-1994,941204,Mumbai,Tamil Nadu,USA,Bajaj Finserv Direct Limited,Bajaj Group,Active,Expired,Never Expires,13-01-2025,54I3QK2I,AGL58KXO,274,29-05-2021,No,Employee,Yes
7,-,Active Directory User,NUJZA_E8G8JD,7tz0y@company.com,user7@company.com,First7,Last7,First7 Last7,First7 Last7,Finance,SubDept2,SubSubDept1,8066,192.168.1.18,Sample Note,"CN=User7,OU=Dept2",Office3,Executive,9.20E+11,B3,Junior,27-10-2022,10-08-2023,COMPANY,OrgUnit7,Manager7,E6SYLZ,Manager7,manager7@company.com,"CN=Manager7,OU=Dept2",11-05-2022,30-04-1984,301158,Bangalore,Delhi,USA,Bajaj Finserv Limited,Bajaj Group,Inactive,Expired,Never Expires,04-06-2025,TAKPUXQP,HR62GDSW,171,25-05-2020,No,Consultant,Yes
8,-,Vendor Account,RIXA1_YIHAIR,1dpg8@company.com,user8@company.com,First8,Last8,First8 Last8,First8 Last8,Operations,SubDept3,SubSubDept2,8611,192.168.1.13,Sample Note,"CN=User8,OU=Dept3",Office0,Consultant,9.18E+11,B1,Senior,10-12-2021,26-07-2020,COMPANY,OrgUnit8,Manager8,2Y9V86,Manager8,manager8@company.com,"CN=Manager8,OU=Dept3",09-08-2022,05-03-1997,547470,Chennai,Delhi,USA,Bajaj Housing Finance Limited,Bajaj Group,Inactive,Expired,17-12-2025,Never Expires,JIW1SWJC,KJLTEIYZ,32,06-10-2021,Yes,Vendor,No
9,-,Active Directory User,KO64T_LQC3O1,026rj@company.com,user9@company.com,First9,Last9,First9 Last9,First9 Last9,Sales,SubDept4,SubSubDept0,1475,192.168.1.100,Sample Note,"CN=User9,OU=Dept4",Office1,Executive,9.20E+11,B4,Junior,29-01-2023,13-09-2020,COMPANY,OrgUnit9,Manager9,479T6V,Manager9,manager9@company.com,"CN=Manager9,OU=Dept4",26-10-2022,02-12-1980,188025,Bangalore,Karnataka,Germany,Bajaj Finance Limited,Bajaj Group,Active,Valid,29-12-2024,08-07-2025,JLQM5K8P,4Q0B8IC8,20,17-03-2023,No,Employee,Yes
10,-,Active Directory User,V8Z2F_8HAFEY,lu7u6@company.com,user10@company.com,First10,Last10,First10 Last10,First10 Last10,Sales,SubDept0,SubSubDept1,7498,192.168.1.242,Sample Note,"CN=User10,OU=Dept0",Office2,Senior Analyst,9.17E+11,B2,Senior,07-06-2020,19-12-2022,COMPANY,OrgUnit0,Manager0,14VE92,Manager0,manager0@company.com,"CN=Manager0,OU=Dept0",23-06-2021,15-02-1998,549186,Delhi,Maharashtra,Canada,Vendor Company B,Vendor Group,Inactive,Valid,Never Expires,21-08-2025,43D8W3ZP,08J3TRP0,137,15-05-2021,No,Application,Yes
